[00:00.0] [DEBUG] === Game Session Started ===
[00:02.4] [INFO] 체크포인트 [999] 도달
[00:08.3] [DEBUG] Square의 능력 사용 횟수: 1번
[00:10.9] [DEBUG] Square의 능력 사용 횟수: 2번
[00:12.5] [DEBUG] Square의 능력 사용 횟수: 3번
[00:13.2] [DEBUG] Square의 능력 사용 횟수: 4번
[00:14.1] [DEBUG] Square의 능력 사용 횟수: 5번
[00:14.5] [DEBUG] Square의 능력 사용 횟수: 6번
[00:14.8] [DEBUG] Square의 능력 사용 횟수: 7번
[00:15.2] [DEBUG] Square의 능력 사용 횟수: 8번
[00:15.7] [DEBUG] Square의 능력 사용 횟수: 9번
[00:16.1] [DEBUG] Square의 능력 사용 횟수: 10번
[00:16.6] [DEBUG] Square의 능력 사용 횟수: 11번
[00:17.0] [DEBUG] Square의 능력 사용 횟수: 12번
[00:44.7] [DEBUG] Square의 능력 사용 횟수: 13번
[00:47.2] [DEBUG] Square의 능력 사용 횟수: 14번
[00:47.8] [DEBUG] Square의 능력 사용 횟수: 15번
[00:48.2] [DEBUG] Square의 능력 사용 횟수: 16번
[00:48.6] [DEBUG] Square의 능력 사용 횟수: 17번
[00:48.9] [DEBUG] Square의 능력 사용 횟수: 18번
[00:49.3] [DEBUG] Square의 능력 사용 횟수: 19번
[00:49.6] [DEBUG] Square의 능력 사용 횟수: 20번
[00:50.0] [DEBUG] Square의 능력 사용 횟수: 21번
[00:50.3] [DEBUG] Square의 능력 사용 횟수: 22번
[00:50.7] [DEBUG] Square의 능력 사용 횟수: 23번
[00:51.0] [DEBUG] Square의 능력 사용 횟수: 24번
[00:51.4] [DEBUG] Square의 능력 사용 횟수: 25번
[00:51.7] [DEBUG] Square의 능력 사용 횟수: 26번
[00:52.1] [DEBUG] Square의 능력 사용 횟수: 27번
[00:52.9] [DEBUG] Square의 능력 사용 횟수: 28번
[01:18.0] [DEBUG] Square의 능력 사용 횟수: 29번
[01:19.9] [DEBUG] Square의 능력 사용 횟수: 30번
[01:21.4] [DEBUG] Square의 능력 사용 횟수: 31번
[01:23.3] [DEBUG] Square의 능력 사용 횟수: 32번
[01:24.5] [DEBUG] Square의 능력 사용 횟수: 33번
[01:25.8] [DEBUG] Square의 능력 사용 횟수: 34번
[01:26.9] [DEBUG] Square의 능력 사용 횟수: 35번
[01:28.3] [DEBUG] Square의 능력 사용 횟수: 36번
[01:29.7] [DEBUG] Square의 능력 사용 횟수: 37번
[01:30.7] [DEBUG] Square의 능력 사용 횟수: 38번
[01:31.6] [DEBUG] Square의 능력 사용 횟수: 39번
[01:32.3] [DEBUG] Square의 능력 사용 횟수: 40번
[01:33.2] [DEBUG] Square의 능력 사용 횟수: 41번
[01:33.9] [DEBUG] Square의 능력 사용 횟수: 42번
[01:34.9] [DEBUG] Square의 능력 사용 횟수: 43번
[01:36.0] [DEBUG] Square의 능력 사용 횟수: 44번
[01:36.7] [DEBUG] Square의 능력 사용 횟수: 45번
[01:39.0] [DEBUG] Square의 능력 사용 횟수: 46번
[01:40.4] [DEBUG] Square의 능력 사용 횟수: 47번
[01:45.5] [DEBUG] Square의 능력 사용 횟수: 48번
[01:48.3] [DEBUG] Square의 능력 사용 횟수: 49번
[01:50.0] [DEBUG] Square의 능력 사용 횟수: 50번
[01:53.3] [DEBUG] Square의 능력 사용 횟수: 51번
[01:54.5] [DEBUG] Square의 능력 사용 횟수: 52번
[01:55.5] [DEBUG] Square의 능력 사용 횟수: 53번
[01:56.1] [DEBUG] Square의 능력 사용 횟수: 54번
[01:57.6] [DEBUG] Square의 능력 사용 횟수: 55번
